"","Designated Qualified Opportunity Zones","","",""
"This document was updated December 14, 2018, to reflect the final Qualified Opportunity Zone designations for all States.","","","",""
"Please note that the below list of designated tracts is not the official list.   The official list will be published in the Internal Revenue ","","","",""
"Bulletin at a later date.","","","",""
"Click arrow to filter state

State","County","Census Tract Number","Tract Type","ACS Data Source"
"Alabama","Autauga","01001020700","Low-Income Community","2011-2015"
"Alabama","Baldwin","01003010200","Low-Income Community","2011-2015"
"Alabama","Baldwin","01003010400","Non-LIC Contiguous","2011-2015"
"Alabama","Baldwin","01003010500","Low-Income Community","2011-2015"
"Alabama","Baldwin","01003010600","Low-Income Community","2011-2015"
"Alabama","Baldwin","01003011501","Non-LIC Contiguous","2011-2015"
"Alabama","Baldwin","01003011502","Low-Income Community","2011-2015"
"Alabama","Barbour","01005950100","Low-Income Community","2011-2015"
"Alabama","Bibb","01007010002","Low-Income Community","2011-2015"
"Alabama","Blount","01009050500","Low-Income Community","2011-2015"
"Alabama","Bullock","01011952200","Low-Income Community","2011-2015"
"Alabama","Butler","01013952800","Low-Income Community","2012-2016"
"Alabama","Calhoun","01015000700","Low-Income Community","2011-2015"
"Alabama","Calhoun","01015000800","Low-Income Community","2011-2015"
"Alabama","Calhoun","01015002101","Low-Income Community","2011-2015"
"Alabama","Chambers","01017954300","Low-Income Community","2011-2015"
"Alabama","Cherokee","01019955900","Low-Income Community","2011-2015"
"Alabama","Chilton","01021060102","Low-Income Community","2011-2015"
"Alabama","Choctaw","01023956800","Low-Income Community","2011-2015"
"Alabama","Clarke","01025957902","Low-Income Community","2011-2015"
"Alabama","Clay","01027959000","Low-Income Community","2011-2015"
"Alabama","Cleburne","01029959600","Low-Income Community","2011-2015"
"Alabama","Coffee","01031010900","Low-Income Community","2011-2015"
"Alabama","Colbert","01033020200","Low-Income Community","2011-2015"
"Alabama","Conecuh","01035960400","Low-Income Community","2011-2015"
"Alabama","Coosa","01037961000","Low-Income Community","2011-2015"
"Alabama","Covington","01039962000","Low-Income Community","2011-2015"
"Alabama","Covington","01039962700","Low-Income Community","2011-2015"
"Alabama","Crenshaw","01041963700","Low-Income Community","2011-2015"
"Alabama","Cullman","01043964800","Low-Income Community","2011-2015"
"Alabama","Cullman","01043965000","Low-Income Community","2011-2015"
"Alabama","Dale","01045020700","Low-Income Community","2011-2015"
"Alabama","Dallas","01047956500","Low-Income Community","2011-2015"
"Alabama","DeKalb","01049960900","Low-Income Community","2011-2015"
"Alabama","Elmore","01051031000","Low-Income Community","2011-2015"
"Alabama","Elmore","01051031300","Low-Income Community","2011-2015"
"Alabama","Escambia","01053970400","Low-Income Community","2011-2015"
"Alabama","Etowah","01055001200","Low-Income Community","2011-2015"
